strain	mic
2614	1
3782	1.5
4597	1.5
5535	1.5
8081	1
834N	1.5
8535	1.5
CA26	2
CA541	2
EUH_13	1
EUH_15	1
EUH_25	1
GA27	2
GA48963	1.5
GA50245	2
GA50819	1.5
GA51254	2
GA53617	1.5
GA53649	2
SR1065	2
SR1129	2
SR2609	2
SR2852	2
SR4155	2
SR4156	2
120336	2
CA105	2
CA11	2
CA39	2
CA436	2
CA544	2
CA545	2
CA598	1.5
CA9	2
GA12	2
GA15	2
GA231	2
GA984	2
MN055	2
NY341	2
NY439	2
NY593	1.5
SR1746	2
SR2091	2
SR3569	2
SR3777	2
SR4035	2
SR4153	2
SR4187	2
120335	3
120337	3
MN105	3
SR1287	3
SR220	3
407	3
Grady_VISA_1	3
NY224		3
NY356		3
NY360		3
NY417		3
SR3585		3
SR3732		3
SR4152		3
126		4
312		4
115		4
107		4
122_VISA	4
217		4
221		4
506		4
109		6
504		6
123		6
120338		8
