strain,model_loci,total_loci,PAP-AUC,Etest
407,1,2,1.73,3
Grady_VISA_1,1,2,1.32,3
126,1,1,1.65,4
312,3,4,1.97,4
115,2,2,1.74,4
107,3,3,1.52,4
122_VISA,0,1,1.13,4
217,2,2,1.61,4
221,1,1,1.41,4
506,1,1,1.32,4
109,1,4,1.8,6
504,1,1,1.58,6
123,3,3,2,6
120338,2,3,NA,8
CA598,0,2,1.06,1.5
NY593,0,0,0.9,1.5
GA53617,0,0,0.77,1.5
120336,0,1,0.72,2
CA9,0,0,1.03,2
CA11,0,0,1.01,2
CA39,0,2,0.95,2
CA105,0,1,0.92,2
CA436,1,1,0.99,2
CA544,0,0,1.34,2
CA545,0,2,1.04,2
GA12,0,1,0.92,2
GA15,0,1,0.92,2
GA231,0,0,0.93,2
GA984,0,2,0.9,2
MN055,0,1,0.91,2
NY341,0,0,0.91,2
NY439,0,0,0.95,2
SR1746,0,0,1,2
SR2091,2,6,1.05,2
SR3569,0,0,0.91,2
SR3777,1,2,1.1,2
SR4035,0,0,1.04,2
SR4153,0,1,0.96,2
SR4187,0,1,0.93,2
120335,0,2,0.96,3
120337,0,2,0.97,3
MN105,1,4,1.05,3
SR1287,1,3,1.14,3
SR220,1,5,1.03,3
NY224,0,1,1.27,3
NY356,1,2,1.37,3
NY360,1,2,1.38,3
NY417,1,1,1.48,3
SR3732,2,2,1.06,3
2614,3,7,0.73,1
EUH_13,0,0,0.5,1
EUH_15,0,0,0.61,1
EUH_25,0,0,0.66,1
8081,0,3,0.71,1
3782,0,3,0.79,1.5
4597,0,2,0.84,1.5
5535,0,1,0.85,1.5
8535,0,0,0.8,1.5
834N,0,1,0.77,1.5
GA48963,0,1,0.81,1.5
GA50819,0,0,0.79,1.5
CA26,0,0,0.68,2
CA541,1,2,0.87,2
GA27,0,0,0.86,2
GA50245,0,2,0.83,2
GA51254,0,1,0.77,2
GA53649,0,0,0.85,2
SR1065,0,1,0.88,2
SR1129,1,1,0.86,2
SR2609,0,2,0.89,2
SR2852,0,1,0.86,2
SR4155,0,0,0.89,2
SR4156,0,1,0.88,2
SR3585,0,3,0.87,3
SR4152,0,1,0.87,3
