Strain,CC,ST (CC),E-test,PAP-AUC,25081,25234,25265,25407,25466,25579,26111,26350,26374,26491,26742,26842,26875,26957,27059,27134,27398,579623,579905,580227,580497,580577,580851,580863,581009,581031,581049,581060,581073,581175,581186,582200,582212,666607,666365,708287,709107,709318,710139,710478,710824,711300,711409,711571,712236,712330,712387,712464,712573,1201658,1201675,1201723,1201785,1201962,1202039,del1,del2,1785076,1784880,1892873,1892883,1892947,1893057,1893255,1893324,1893435,1893633,1947245,1947009,1946792,1948391,1948379,1947464,1947459,1949080,1948981,1948945,1948848,1948651,1948648,1948637,1948612,1948582,1948472,1948442,1948438,2081601,2081625,2082085,2082166,2082199
,,,,,SA0017,SA0017,SA0017,SA0017,SA0017,SA0017,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0018,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0500,SA0573,SA0573,SA0614,SA0615,SA0615,SA0616,SA0616,SA0616,SA0617,SA0617,SA0617,SA0617,SA0617,SA0617,SA0617,SA0617,SA1062,SA1062,SA1062,SA1062,SA1062,SA1062,SA1062,SA1062,SA1557,SA1557,SA1659,SA1659,SA1659,SA1659,SA1659,SA1659,SA1659,SA1659,SA1700,SA1700,SA1700,SA1701,SA1701,SA1701,SA1701,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1702,SA1844,SA1844,SA1844,SA1844,SA1844
2614,5,12,1,0.73,-,-,-,-,-,-,-,-,-,-,-,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,I,V,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,V,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EUH_13,8,8,1,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EUH_15,5,5,1,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EUH_25,8,8,1,0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8081,45,45,1,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,-,-,-,-,-,-,-,-,-,-
3782,8,72,1.5,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,-,-
4597,5,5,1.5,0.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,G,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5535,5,5,1.5,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8535,5,5,1.5,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
